obs,elapsed,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPDleaf,Qin,Qabs,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Tair,Tleaf,CO2_r_sp
11,600,0.004005337,34.16501084,367.9,152.375823,15.29347391,36.92494609,0.27558689,2.399665473,0.259133881,0.163354995,237.7258852,27.4870296,27.2905,3.640683206,59.43428239,1.506704357,1500,1264.499739,367.9,399.976,21.2618,17.7335,999.96,27.0538,27.2905,400
12,660,0.003987619,34.1645704,367.931,150.9285966,15.14842734,36.92856189,0.273573903,2.394820272,0.257322056,0.162205935,237.7263289,27.50368436,27.3051,3.643799476,59.376537,1.510604459,1500,1264.500135,367.931,399.997,21.2537,17.7414,1000.08,27.0641,27.3051,400
13,720,0.003972557,34.19611156,367.914,151.0872811,15.16459989,36.92745386,0.274012706,2.398660826,0.257734788,0.162466105,237.7263289,27.51234944,27.3095,3.644739083,59.61395376,1.502436077,1500,1264.500135,367.914,400.006,21.3441,17.8451,999.997,27.0687,27.3095,400
14,780.0999999,0.003942398,34.17656661,367.941,150.7441164,15.12925039,36.92795215,0.273265161,2.402977897,0.257100365,0.162060328,237.7261096,27.52143622,27.3102,3.644888585,59.8360354,1.494554303,1500,1264.500045,367.941,400.006,21.4254,17.9532,999.982,27.0691,27.3102,400
15,840.0999999,0.003937843,34.11353068,367.946,150.6559506,15.12054622,36.92880683,0.272662533,2.395238557,0.256517998,0.161694552,237.7245248,27.50939814,27.2936,3.641344685,59.74075128,1.496299151,1499.99,1264.491615,367.946,399.953,21.3725,17.9041,999.975,27.0543,27.2936,400
16,900.0999999,0.003914498,34.18451198,367.937,149.0907239,14.96325986,36.92742781,0.271146528,2.391200938,0.255150118,0.160827338,237.7274752,27.49925547,27.2652,3.635288601,59.65890703,1.495469529,1500.01,1264.508385,367.937,399.999,21.3207,17.8728,1000.01,27.0361,27.2652,400
17,960.0999999,0.003866038,34.14132138,367.994,147.3260442,14.78548372,36.93148298,0.268252444,2.401756121,0.252649655,0.159232204,237.725833,27.49012843,27.257,3.63354165,59.7994577,1.491500784,1500,1264.499825,367.994,400,21.3438,17.9388,1000.05,27.0137,27.257,400
18,1020.1,0.003915864,34.12117033,367.94,149.1312848,14.96661918,36.92597346,0.270647279,2.397457721,0.254746839,0.160567465,237.726,27.44942706,27.2201,3.625689434,59.47646288,1.498456703,1500,1264.5,367.94,399.946,21.1963,17.7467,999.993,26.9878,27.2201,400
19,1080.1,0.003895841,34.17937426,367.961,148.4140453,14.8945418,36.92784255,0.270053221,2.406411656,0.254275532,0.1602629,237.726,27.42230926,27.1925,3.619825918,59.55945804,1.493600466,1500,1264.5,367.961,400.011,21.1864,17.7546,1000.05,26.956,27.1925,400
20,1140.1,0.00389235,34.1441968,367.967,148.4255481,14.89630386,36.92995115,0.269804364,2.40047263,0.254018312,0.160102736,237.7261096,27.39427163,27.1564,3.612169102,59.44039731,1.493956137,1500,1264.500045,367.967,399.986,21.1057,17.6765,999.994,26.9258,27.1564,400
21,1200.1,0.003884054,34.12545833,367.959,148.4284727,14.89610489,36.92792737,0.269672757,2.396596419,0.253877714,0.160015544,237.7276475,27.35999006,27.1127,3.602919242,59.37602614,1.491670956,1500.01,1264.508777,367.959,399.959,21.037,17.6148,999.974,26.8882,27.1127,400
22,1260.1,0.004028505,34.13464486,367.951,157.027194,15.75939303,36.9278994,0.281780044,2.403512311,0.264629665,0.166847376,237.7261096,27.26833388,26.888,3.555683334,58.3908671,1.484986734,1500,1264.500045,367.951,400.004,20.6325,17.0819,1000.07,26.8429,26.888,400
23,1320.1,0.004042679,34.06772417,367.998,157.0919965,15.76737428,36.93607776,0.281282711,2.402015623,0.264180893,0.16656287,237.7261096,27.22606097,26.8511,3.547978208,58.07573633,1.493066495,1500,1264.500045,367.998,399.995,20.4733,16.9097,1000.09,26.8048,26.8511,400
24,1380.1,0.004037356,34.02361572,368.031,156.8059141,15.73961911,36.94164085,0.280499912,2.393697002,0.263434806,0.166093399,237.7261096,27.1922859,26.824,3.542328718,57.97201743,1.495522658,1500,1264.500045,368.031,399.992,20.3913,16.8315,999.923,26.768,26.824,400
25,1440.1,0.003995926,34.03923369,368.055,154.1985787,15.47726477,36.94252393,0.276804363,2.40204614,0.260225748,0.164047807,237.7256085,27.17558712,26.7967,3.536645476,57.8236182,1.498475678,1500,1264.499519,368.055,400.013,20.3061,16.7829,1000.03,26.7397,26.7967,400
26,1500.1,0.003986675,34.08098499,368.013,153.7072095,15.42763397,36.93756381,0.276510893,2.401923966,0.259965498,0.16388241,237.7261096,27.16150846,26.7888,3.535002361,57.89144719,1.496482198,1500,1264.500045,368.013,400.006,20.31,16.7949,1000.01,26.7227,26.7888,400
27,1560.1,0.003953462,34.07657346,368.012,151.8700399,15.24291875,36.93669282,0.27392292,2.397880893,0.257650373,0.162412891,237.7259426,27.16828465,26.7846,3.534129077,57.85699428,1.497337629,1500,1264.49987,368.012,399.993,20.2932,16.807,999.917,26.7184,26.7846,400
28,1620.1,0.003918607,34.0113624,368.071,150.3950469,15.09455409,36.94182576,0.271252825,2.399188491,0.255294199,0.160914397,237.7263289,27.1936626,26.8058,3.538539005,57.92080791,1.497736257,1500,1264.500135,368.071,399.979,20.3336,16.8786,1000.01,26.7331,26.8058,400
29,1680.1,0.00392895,34.09428427,368.021,149.1019909,14.96486852,36.93703784,0.270297864,2.400136268,0.254453749,0.160379675,237.726,27.22414559,26.8494,3.547623581,57.81200036,1.506587298,1500,1264.5,368.021,400.004,20.3358,16.872,1000.1,26.767,26.8494,400
30,1740.1,0.003884248,34.18071522,367.898,145.8885667,14.64317682,36.92678314,0.266899349,2.397559421,0.251423341,0.158455215,237.724483,27.28566198,26.9038,3.558987011,57.95243536,1.507316158,1499.99,1264.492132,367.898,399.948,20.4406,17.0161,999.961,26.8141,26.9038,800
31,1800.1,0.003861207,36.37327721,764.549,515.864481,51.77995145,76.74168615,0.262904733,2.398369938,0.247879276,0.156202919,237.7254415,27.34721196,26.9729,3.573466879,57.82569164,1.519711931,1500,1264.499343,764.549,799.942,20.4608,17.0568,999.995,26.8686,26.9729,800
32,1860.1,0.002624658,35.94346135,765.652,406.3012502,40.77997704,76.84758777,0.172585742,2.397034862,0.165967651,0.104303246,237.7244152,27.82565045,27.1748,3.616069977,58.07831263,1.542269492,1499.99,1264.49157,765.652,799.807,20.6618,18.3486,1000.08,26.9597,27.1748,800
33,1920.1,0.001867213,32.50889053,769.367,320.621046,32.18015117,77.21996631,0.122440824,2.394341016,0.119065711,0.074711561,237.7258904,28.1517591,27.3412,3.651514771,59.14437897,1.528717706,1500,1264.499955,769.367,799.917,21.1501,19.5052,1000.03,27.0476,27.3412,800
34,1980.1,0.001556789,30.85257891,771.096,271.5933406,27.25994527,77.39525097,0.103502384,2.401542035,0.101086567,0.06339146,237.7245352,28.31225877,27.4416,3.673047284,60.28739973,1.500749752,1499.99,1264.492047,771.096,799.944,21.6428,20.272,999.99,27.1142,27.4416,800
35,2040.1,0.001563361,31.84855329,770.275,254.3510241,25.5303322,77.31589327,0.103323243,2.400747346,0.1009149,0.063283517,237.7245248,28.35922002,27.4822,3.681786069,60.11108769,1.509643838,1499.99,1264.491615,770.275,800.023,21.6404,20.2638,999.983,27.1629,27.4822,800
36,2100.1,0.00159989,33.63310043,768.649,236.7956744,23.76932863,77.1562687,0.10576986,2.397936898,0.10324473,0.064749808,237.7244152,28.38593879,27.5073,3.68719769,60.11945996,1.510046014,1499.99,1264.49157,768.649,800.024,21.6893,20.2807,1000.05,27.1998,27.5073,800
37,2160.1,0.001651384,34.74757305,767.587,238.2792637,23.91916112,77.05260139,0.109890588,2.393788291,0.107163006,0.067216302,237.7245926,28.40165771,27.5221,3.690391858,60.33457105,1.501603171,1499.99,1264.492177,767.587,800.002,21.8044,20.3505,999.958,27.2298,27.5221,800
38,2220.1,0.001692743,34.80335238,767.48,248.0394539,24.89889564,77.04179365,0.112289192,2.401434787,0.109451717,0.068656287,237.7243682,28.41238326,27.5474,3.695857751,60.24122402,1.506980617,1499.99,1264.491871,767.48,799.969,21.8053,20.3152,1000.1,27.2569,27.5474,800
39,2280.1,0.001674031,35.29936105,767.106,232.8579691,23.3756561,77.0066239,0.110587126,2.404443621,0.107837235,0.067639643,237.7244152,28.43018467,27.5745,3.701720357,60.19999798,1.512635217,1499.99,1264.49157,767.106,800.034,21.8067,20.3328,999.914,27.2702,27.5745,800
40,2340.5,0.001703891,36.00762206,766.428,233.2625561,23.41606636,76.93789011,0.11309312,2.394872412,0.110207762,0.069132958,237.7273082,28.4348936,27.5723,3.701244124,60.32244298,1.506446123,1500.01,1264.508209,766.428,800.013,21.8638,20.3637,999.916,27.28,27.5723,800
41,2400.5,0.001779749,36.47427137,766.003,249.5671082,25.05258452,76.89456771,0.118523003,2.395910526,0.115359433,0.072376847,237.7276945,28.40818634,27.5598,3.698539266,60.34483848,1.503248109,1500.01,1264.508475,766.003,800.058,21.8689,20.3021,999.965,27.2775,27.5598,800
42,2460.5,0.001785367,36.56902878,765.829,250.8497913,25.1820289,76.87918699,0.119177103,2.40445889,0.115990069,0.072773037,237.7246344,28.39383178,27.5327,3.692681057,60.30728508,1.499900233,1499.99,1264.49166,765.829,799.971,21.8433,20.2716,1000.02,27.2686,27.5327,800
43,2520.5,0.001772374,36.54828338,765.864,245.8011473,24.67579037,76.8845049,0.117886849,2.400762166,0.114762811,0.072000544,237.7261096,28.39040087,27.5373,3.693674868,60.2273421,1.50496858,1500,1264.500045,765.864,799.98,21.8022,20.2418,999.974,27.2595,27.5373,800
44,2580.5,0.001755806,36.62775194,765.76,241.4703359,24.24166461,76.87609752,0.117127495,2.402244372,0.114044855,0.07154824,237.7240759,28.37803768,27.5106,3.687909694,60.25462198,1.500380341,1499.99,1264.491003,765.76,799.933,21.7899,20.2442,1000.06,27.2426,27.5106,800
45,2640.5,0.001761557,36.74310993,765.694,244.2472006,24.51988268,76.86772663,0.11817416,2.397339513,0.115030741,0.072169672,237.7258852,28.3539044,27.4773,3.680730426,60.36312962,1.49240746,1500,1264.499739,765.694,799.978,21.7983,20.2474,999.963,27.2181,27.4773,800
46,2700.5,0.001815712,36.82106136,765.59,257.6694041,25.86751213,76.85781973,0.121777864,2.402794347,0.118450067,0.074322707,237.7262192,28.30615371,27.446,3.673993469,60.23373892,1.494007783,1500,1264.50009,765.59,799.981,21.7151,20.1164,999.972,27.1896,27.446,800
47,2760.5,0.001804476,36.99582188,765.468,252.9959932,25.39760035,76.84331322,0.121215179,2.398170398,0.117911445,0.07398398,237.7263289,28.27967447,27.4055,3.665292291,60.17227974,1.491614781,1500,1264.500135,765.468,800.006,21.6529,20.0641,1000.04,27.1576,27.4055,800
48,2820.5,0.001801218,36.85461033,765.569,253.5492858,25.45313304,76.85341942,0.120858541,2.398266768,0.117574063,0.073771452,237.726,28.24947899,27.378,3.659394342,60.07230603,1.493297005,1500,1264.5,765.569,799.981,21.5774,19.9912,999.948,27.1264,27.378,800
49,2880.5,0.001792006,36.85395812,765.611,251.7180113,25.26944733,76.85809505,0.120386972,2.396464223,0.117125322,0.073489012,237.72612,28.21917076,27.3375,3.650723352,60.00183651,1.491479602,1500,1264.500477,765.611,800.014,21.509,19.9309,1000.01,27.0924,27.3375,800
50,2940.5,0.001791032,36.84167232,765.636,250.6357214,25.1602852,76.85903673,0.120067909,2.40436729,0.116833629,0.073304349,237.7262192,28.18410675,27.3145,3.645807074,59.89486796,1.49445755,1500,1264.50009,765.636,800.028,21.4308,19.8534,999.99,27.0604,27.3145,800
51,3000.5,0.001783263,36.88448542,765.586,249.2894693,25.02588837,76.85631419,0.119880892,2.404886339,0.11665721,0.073193171,237.7279137,28.15045452,27.271,3.636524692,59.87600174,1.490381292,1500.01,1264.508565,765.586,800.008,21.3783,19.8078,1000.08,27.0245,27.271,800
52,3060.5,0.00175596,36.86388269,765.536,239.0683459,24.00075043,76.85433393,0.117379415,2.399122954,0.114279776,0.071696533,237.7261096,28.12789537,27.2325,3.628326465,59.54256419,1.498341754,1500,1264.500045,765.536,799.927,21.2165,19.6695,999.893,26.9909,27.2325,800
53,3120.5,0.001817581,36.83857496,765.601,258.3324602,25.93464977,76.86062289,0.12200754,2.397688101,0.118660461,0.074455862,237.725953,28.07646183,27.1988,3.6211636,59.58579678,1.493735415,1500,1264.500302,765.601,800.009,21.1911,19.5899,999.974,26.9581,27.1988,800
54,3180.5,0.001835118,36.78134667,765.622,264.0053898,26.5052715,76.86592684,0.123273848,2.396027228,0.11985568,0.075209014,237.7276945,28.04491747,27.1758,3.616282086,59.55657003,1.493243143,1500.01,1264.508475,765.622,799.988,21.1465,19.5299,1000.05,26.9313,27.1758,800
55,3240.5,0.001797415,36.7411879,765.678,254.0392916,25.50410473,76.86973057,0.120570692,2.401251019,0.117305556,0.073601967,237.7275848,28.03180013,27.1615,3.613249955,59.51903922,1.494377402,1500.01,1264.50843,765.678,799.983,21.1055,19.522,1000.02,26.9086,27.1615,800
56,3300.5,0.00178304,36.87317706,765.537,248.6617083,24.96351791,76.85339549,0.119710276,2.399967084,0.116489234,0.07308795,237.7276945,28.02575824,27.1396,3.608610642,59.47097395,1.492829999,1500.01,1264.508475,765.537,799.951,21.0753,19.5044,1000.01,26.8975,27.1396,800
57,3360.5,0.001794872,36.83810738,765.598,253.9524824,25.49458201,76.85926442,0.120882753,2.400639737,0.117600131,0.073787588,237.7261096,28.01886031,27.1461,3.609987064,59.64206831,1.488481105,1500,1264.500045,765.598,799.988,21.1324,19.5512,1000.03,26.8946,27.1461,800
58,3420.5,0.001789119,36.77905338,765.632,251.4013695,25.23881274,76.86371286,0.120052499,2.399505267,0.116812677,0.073291726,237.7261096,28.03223709,27.1629,3.613546709,59.55602369,1.493718851,1500,1264.500045,765.632,799.968,21.1154,19.5391,999.941,26.9057,27.1629,800
59,3480.5,0.001779316,36.75832791,765.707,246.3659199,24.73343548,76.87169023,0.118745968,2.399710121,0.11557554,0.072512512,237.7259478,28.06468645,27.2104,3.623627762,59.52163092,1.501347999,1500,1264.500086,765.707,800.015,21.1397,19.5722,1000.02,26.9352,27.2104,800
60,3540.5,0.001799609,36.84355297,765.543,247.9993008,24.89900704,76.86013826,0.119482007,2.399419275,0.116272347,0.072951411,237.7262192,28.10182604,27.2479,3.631603818,59.36767126,1.509409281,1500,1264.50009,765.543,799.944,21.1375,19.552,999.945,26.9786,27.2479,100
61,3600.5,0.002014676,5.669484763,95.3735,25.19754853,2.529930732,9.575866016,0.135572246,2.400437458,0.131457633,0.0825203,237.7262192,28.08300192,27.3057,3.643927592,59.96092554,1.494361615,1500,1264.50009,95.3735,100.649,21.4092,19.6348,999.994,27.0275,27.3057,100
62,3660.5,0.004106233,11.03533454,89.7589,24.29280801,2.439043667,9.011962576,0.291247197,2.401556459,0.272951257,0.172142488,237.7258382,27.41709757,27.1388,3.608441268,59.77066327,1.46718035,1500,1264.500041,89.7589,100.023,21.3269,17.7099,999.943,27.0157,27.1388,100
63,3720.5,0.004461041,12.02899291,88.8317,22.56544544,2.265493909,8.918400297,0.314842978,2.401006404,0.29357396,0.185274792,237.7245248,27.33085758,27.1321,3.607023032,59.23070023,1.482038721,1499.99,1264.491615,88.8317,100.014,21.1659,17.2361,1000.04,27.0403,27.1321,100
64,3780.5,0.00456724,11.67158289,89.127,25.9765091,2.608157967,8.948750356,0.321541453,2.401296569,0.299394396,0.188984051,237.724363,27.32682564,27.1485,3.610495397,59.06181319,1.487934586,1499.99,1264.491655,89.127,99.998,21.1401,17.1164,999.98,27.0695,27.1485,100
65,3840.5,0.004628852,11.79457493,88.9835,25.63892055,2.574306379,8.934494386,0.324044465,2.405054328,0.301596699,0.190385036,237.7256085,27.33303205,27.1482,3.610431852,58.71623786,1.497092364,1500,1264.499519,88.9835,99.9691,21.0479,16.9697,1000.02,27.0953,27.1482,100
66,3900.5,0.004723333,11.92324305,88.8845,26.24294731,2.63500928,8.92474003,0.331901361,2.397342725,0.30832431,0.194681248,237.7256137,27.32375701,27.1657,3.61414028,58.82996734,1.494270406,1500,1264.499735,88.8845,99.9934,21.1125,16.9512,999.988,27.1149,27.1657,100
67,3960.6,0.004876719,12.02719953,88.7634,27.20220525,2.731413526,8.912863831,0.341482211,2.400256723,0.316606939,0.199963068,237.7256607,27.28906602,27.1616,3.613271151,58.52936602,1.50256172,1500,1264.499433,88.7634,99.9775,21.0206,16.7238,999.997,27.1284,27.1616,100
68,4020.6,0.004922452,12.2575084,88.5704,26.71349394,2.682403785,8.893691583,0.34658864,2.397132656,0.320963012,0.202746126,237.7260626,27.28354467,27.158,3.612508163,58.65872244,1.496066143,1500,1264.500347,88.5704,99.9942,21.0772,16.7405,1000.03,27.137,27.158,100
69,4080.6,0.005007645,12.46634706,88.4062,26.58497495,2.669496071,8.877194883,0.353033154,2.403817412,0.326552694,0.206308829,237.7261096,27.25567186,27.1423,3.609182331,58.57270024,1.495955637,1500,1264.500045,88.4062,100.024,21.0452,16.6333,1000.03,27.1361,27.1423,100
70,4140.6,0.005065074,12.63173766,88.218,26.62183678,2.673223914,8.858384534,0.359474813,2.398485366,0.332003419,0.20979511,237.7259008,27.23684702,27.1247,3.605457188,58.68589002,1.488283402,1500,1264.500387,88.218,99.9891,21.0843,16.6217,999.967,27.135,27.1247,100
71,4200.6,0.005182893,12.74619963,88.1007,27.570578,2.768437391,8.846433035,0.370028872,2.396924566,0.340973162,0.215528321,237.7257233,27.18882436,27.0998,3.60019269,58.72917067,1.482849405,1500,1264.49978,88.1007,99.9839,21.0864,16.5199,999.944,27.1238,27.0998,100
72,4260.6,0.005284596,12.9612709,87.9447,27.30231895,2.741463004,8.83064702,0.375875085,2.405695498,0.346033661,0.218754404,237.7244152,27.13536657,27.0635,3.592529961,58.39229532,1.48998635,1499.99,1264.49157,87.9447,100.028,20.9393,16.2828,1000.01,27.1023,27.0635,100
73,4320.6,0.005362205,13.06798105,87.8158,27.64260219,2.77564582,8.817750099,0.382558229,2.397005772,0.351590655,0.222317201,237.7261096,27.08189362,27.0266,3.58475517,58.32941012,1.488084702,1500,1264.500045,87.8158,100.001,20.8807,16.1554,999.982,27.073,27.0266,100
74,4380.6,0.00546232,13.2353795,87.6867,27.75225591,2.786667402,8.804821823,0.389484873,2.402182731,0.357499028,0.22609139,237.7274178,27.02000541,26.9818,3.575335602,58.09086609,1.490987452,1500.01,1264.508254,87.6867,100.029,20.7579,15.9441,1000.05,27.0424,26.9818,100
75,4440.6,0.005536161,13.29297546,87.5857,28.39135127,2.850938377,8.794982353,0.39671729,2.402335433,0.363588514,0.229988328,237.725833,26.96172464,26.9433,3.567257931,58.12556746,1.485971137,1500,1264.499825,87.5857,99.9861,20.7267,15.8473,999.974,27.0072,26.9433,100
76,4500.6,0.0056307,13.4522297,87.4507,28.36385691,2.848185765,8.781451677,0.402661962,2.40291607,0.36858604,0.233187076,237.7243159,26.89799143,26.8867,3.555411631,57.76800239,1.491079073,1499.99,1264.491957,87.4507,100.001,20.5578,15.5943,999.99,26.973,26.8867,100
77,4560.6,0.005718636,13.53827576,87.3531,28.89178237,2.901228306,8.771742882,0.410306302,2.399774711,0.374943027,0.237262131,237.7261774,26.83841008,26.8453,3.546768431,57.69769755,1.488820876,1500,1264.500608,87.3531,99.9874,20.494,15.4526,999.979,26.941,26.8453,100
78,4620.6,0.00576198,13.67760698,87.2296,28.64923432,2.876866353,8.759323142,0.413854055,2.402931326,0.377948099,0.239183429,237.7262192,26.79369107,26.8152,3.540495887,57.64331346,1.488266335,1500,1264.50009,87.2296,99.9918,20.4371,15.3573,1000,26.9097,26.8152,100
79,4680.6,0.005840069,13.73440615,87.1621,28.93518126,2.905596943,8.752595296,0.418588337,2.40120437,0.381871242,0.241699449,237.7241385,26.73558606,26.7676,3.530596282,57.34159859,1.493136385,1499.99,1264.49135,87.1621,99.9819,20.2899,15.1402,999.945,26.8761,26.7676,100
80,4740.6,0.005910562,13.82970585,87.0708,29.22046224,2.934371444,8.743806551,0.424859993,2.395833583,0.387010904,0.245000803,237.7258852,26.68542411,26.7312,3.523042309,57.27539745,1.491258221,1500,1264.499739,87.0708,99.982,20.2325,15.0201,999.9,26.8483,26.7312,100
81,4800.6,0.005945251,13.90201523,87.0248,29.27009921,2.939414413,8.739360588,0.428103238,2.391744925,0.389642685,0.246693623,237.7256189,26.64507916,26.6948,3.515502451,57.19603138,1.49001478,1500,1264.499951,87.0248,100.002,20.1694,14.9267,1000.02,26.8191,26.6948,100
82,4860.6,0.006012449,13.95982405,86.9576,29.5116276,2.963671351,8.73261724,0.432436252,2.405039047,0.39342714,0.249102872,237.7240811,26.59687016,26.6591,3.508121279,57.01174139,1.49249404,1499.99,1264.491219,86.9576,99.992,20.0712,14.7686,999.999,26.791,26.6591,100
83,4920.6,0.006054305,14.03750003,86.8756,29.49752257,2.962187999,8.724185537,0.435638959,2.403282616,0.396052056,0.250788801,237.7246344,26.55596436,26.634,3.502939819,56.94439638,1.492971649,1499.99,1264.49166,86.8756,99.9822,20.0153,14.6757,1000.04,26.7633,26.634,100
84,4980.6,0.006105407,14.05417088,86.877,29.89799854,3.00249843,8.724599268,0.439660166,2.402197621,0.399358796,0.252911598,237.7263289,26.51841658,26.5942,3.494737496,56.77498457,1.49328267,1500,1264.500135,86.877,100.003,19.9299,14.5446,1000.01,26.7418,26.5942,100
85,5040.6,0.006154187,14.12384547,86.788,29.8401938,2.996744582,8.715810309,0.44221631,2.408228811,0.401560201,0.254315703,237.7262192,26.48761643,26.5784,3.491485951,56.629029,1.497066966,1500,1264.50009,86.788,99.9795,19.8595,14.431,1000.05,26.7257,26.5784,100
86,5100.6,0.006087153,14.16248481,86.8117,29.46667707,2.959332396,8.718481408,0.440151338,2.39853936,0.399708749,0.253141183,237.7243682,26.50519911,26.5794,3.491691667,56.91218827,1.487594982,1499.99,1264.491871,86.8117,100.033,19.9552,14.5863,1000.04,26.7232,26.5794,100
87,5160.6,0.006118591,14.2253398,86.7229,28.98172307,2.910563907,8.709369763,0.438912268,2.399656321,0.398702821,0.252494238,237.726,26.49746962,26.5676,3.489264896,56.5087088,1.499142034,1500,1264.5,86.7229,100.003,19.8165,14.419,1000.02,26.7252,26.5676,100
88,5220.6,0.006129466,14.24223333,86.7012,28.99793131,2.91226662,8.707414608,0.439680457,2.407145631,0.399450291,0.252963491,237.726,26.51023063,26.5882,3.493502421,56.58228967,1.498969665,1500,1264.5,86.7012,99.9971,19.8599,14.4531,1000.03,26.7407,26.5882,100
89,5280.6,0.006180648,14.33085058,86.6391,28.878581,2.900264136,8.701129551,0.44223689,2.403694945,0.401508044,0.254288533,237.7261096,26.51454586,26.6097,3.497929872,56.50517928,1.503699444,1500,1264.500045,86.6391,100.018,19.857,14.4052,1000.06,26.7613,26.6097,100
90,5340.6,0.006185353,14.35729781,86.5906,28.60697929,2.872972726,8.696214641,0.441199599,2.405420756,0.40067846,0.253753844,237.726,26.53984454,26.6399,3.50415717,56.47449595,1.507888096,1500,1264.5,86.5906,99.9938,19.8774,14.4214,1000.03,26.7879,26.6399,100
91,5400.6,0.006212268,14.37491139,86.5752,28.91720299,2.904227828,8.694966285,0.444633964,2.401157829,0.403445188,0.255535174,237.7262192,26.56253405,26.6787,3.51217201,56.70710398,1.503963333,1500,1264.50009,86.5752,99.9968,19.9956,14.5163,999.99,26.8194,26.6787,100
92,5460.6,0.006256296,14.44183968,86.5047,28.98629272,2.91132521,8.688358886,0.448110451,2.400094736,0.406290774,0.257363048,237.72759,26.5789764,26.6988,3.516330317,56.721347,1.50403494,1500.01,1264.508646,86.5047,99.9893,20.0352,14.5174,1000.01,26.8497,26.6988,100
93,5520.6,0.006284214,14.51188385,86.4468,28.77344525,2.890093117,8.682981811,0.449178433,2.39691885,0.407119082,0.257899306,237.7254989,26.59969785,26.7367,3.5241828,56.74107631,1.507657634,1500,1264.499474,86.4468,99.9968,20.0763,14.5339,999.972,26.8795,26.7367,100
94,5580.6,0.006305787,14.5633558,86.4137,28.86716862,2.899525312,8.679712018,0.45199225,2.397316845,0.409437346,0.259387034,237.7241959,26.61688295,26.7471,3.526340247,56.81869921,1.504217662,1499.99,1264.49148,86.4137,100.011,20.1319,14.571,1000.01,26.9034,26.7471,100
95,5641,0.006351329,14.58427721,86.3727,28.98948903,2.911727817,8.675344123,0.454163225,2.398324312,0.411235526,0.260540122,237.7245248,26.62244884,26.7693,3.530949423,56.76569706,1.508372791,1499.99,1264.491615,86.3727,99.9923,20.137,14.5359,999.998,26.9231,26.7693,100
